0.00361072
0.00361072
N	BruteForce	Recursive
1000	0.008982	0.001144
2000	0.028409	0.000883
3000	0.022983	0.000749
4000	0.035031	0.001075
5000	0.05487	0.001349
6000	0.078674	0.001602
7000	0.106864	0.001947
8000	0.140533	0.002344
9000	0.176966	0.002743
10000	0.218244	0.002961
11000	0.26409	0.003251
12000	0.315575	0.003471
13000	0.37107	0.003832
14000	0.454815	0.004243
15000	0.494039	0.004699
16000	0.560569	0.00502
17000	0.63115	0.00547
18000	0.710129	0.005769
19000	0.79205	0.006133
20000	0.875512	0.006688
21000	0.964184	0.006788
22000	1.0582	0.007008
23000	1.15528	0.007324
24000	1.29303	0.007688
25000	1.42058	0.007913
26000	1.47541	0.008541
27000	1.59413	0.00887
28000	1.7129	0.00939
29000	1.83933	0.009788
30000	1.96783	0.01016
31000	2.09763	0.010664
32000	2.23505	0.010956
33000	2.37966	0.011392
34000	2.6029	0.013376
35000	3.0548	0.014504
36000	3.11024	0.013704
37000	3.20521	0.013336
38000	3.3033	0.013336
39000	3.37973	0.01344
40000	3.49559	0.01386
41000	3.72998	0.014188
42000	3.85617	0.014664
43000	4.11565	0.014868
44000	4.23172	0.015296
45000	4.52296	0.015568
46000	4.63462	0.016008
47000	4.88065	0.01624
48000	5.07943	0.01664
49000	5.25892	0.017728
50000	5.55426	0.017672
51000	5.75527	0.017808
52000	5.94828	0.018256
53000	6.1853	0.018744
54000	6.47547	0.019528
55000	6.7025	0.019688
56000	6.93188	0.020312
57000	7.16164	0.020528
58000	7.43456	0.021488
59000	7.70603	0.02152
60000	7.9375	0.024528
61000	8.22765	0.023456
62000	8.5032	0.022816
63000	8.71272	0.023264
64000	9.2	0.023968
65000	9.47573	0.02568
66000	9.67474	0.025712
67000	9.97747	0.025728
68000	10.1894	0.025632
69000	10.5464	0.02656
70000	10.8808	0.026208
71000	11.1214	0.027616
72000	11.5014	0.026976
73000	11.811	0.029152
74000	12.2957	0.030912
75000	13.0223	0.02816
76000	12.7273	0.028928
77000	13.8399	0.028736
78000	13.8266	0.029472
79000	14.2684	0.030464
80000	14.3453	0.04496
81000	14.7211	0.030496
82000	15.207	0.030592
83000	15.4696	0.031136
84000	15.7102	0.031392
85000	16.3149	0.031872
86000	16.5672	0.032224
87000	17.5488	0.032672
88000	17.4028	0.033888
89000	17.6532	0.036096
90000	18.2354	0.033536
91000	18.2408	0.03392
92000	18.7457	0.0352
93000	19.6197	0.034688
94000	19.5174	0.03712
95000	20.4283	0.037632
96000	20.7628	0.035904
97000	20.7265	0.037056
98000	21.1855	0.036352
99000	21.6134	0.036992
100000	22.0107	0.037248
